lats,lons,pnames,flag,RMSE(ordinary),bias(ordinary),corr(ordinary)
-34.72,143.2,R_MURRAY_MURRAY_KM1133,10,5.57655,5.561611,0.65954385726439
-34.78,143.29,R_MURRAY_MURRAY_KM1160,10,3.8459492,3.8024979,0.5251374217422166
-35.19,143.41,R_MURRAY_MURRAY_KM1249,10,2.442143,2.3394966,0.25325553986823984
-35.5,143.97,R_MURRAY_MURRAY_KM1365,10,1.7708547,1.5340347,0.6599655619071392
-35.16,-59.84,R_SALADO_SALADO_KM0401,20,0.9426974,0.89928436,0.6311406851240028
-35.74,144.3,R_MURRAY_MURRAY_KM1434,10,1.526954,-1.3084488,0.5882078295366105
-35.13,-59.99,R_SALADO_SALADO_KM0420,10,0.74815935,-0.69770813,0.7094919195793219
-35.86,145.01,R_MURRAY_MURRAY_KM1663,10,0.8500251,-0.4881897,0.24637109968126256
-35.47,-57.55,R_SAMBOROMBON_SAMBOROMBON_KM0062,20,1.2808893,1.0551016,0.812671608691673
-35.84,145.2,R_MURRAY_MURRAY_KM1697,10,1.5221918,1.448349,0.413304299640217
-35.82,145.47,R_MURRAY_MURRAY_KM1739,10,1.7869424,1.5199966,0.345509280073343
-35.9,145.65,R_MURRAY_MURRAY_KM1779,10,1.2569846,-1.0666122,0.21706408717236708
-31.0,-57.44,R_URUGUAY_ARAPEY-GRANDE_KM0319,20,3.3041751,3.0492134,0.6904884612282817
-32.11,-58.06,R_URUGUAY_QUEGUAY-GRANDE_KM0112,10,0.9729238,-0.08300972,0.6658461350690273
-30.32,-54.82,R_URUGUAY_SANTA-MARIA_KM0886,20,2.6119545,-2.4953232,0.8536264683171552
-31.83,-58.14,R_URUGUAY_URUGUAY_KM0138,10,1.1353227,-0.2428565,0.7780437312260094
-30.3,-57.63,R_URUGUAY_URUGUAY_KM0356,10,4.646717,-4.4666557,0.721681797687534
-34.7,-66.66,R_COLORADO-01_DESAGUADERO_KM1177,20,3.986915,3.9429016,-0.587708768900351
