lats,lons,pnames,flag,RMSE(AltiMaP),bias(AltiMaP),corr(AltiMaP)
-35.9,145.65,R_MURRAY_MURRAY_KM1779,10,10.100526,10.074097,0.21158627820695522
-31.0,-57.44,R_URUGUAY_ARAPEY-GRANDE_KM0319,20,3.3041751,3.0492134,0.6904884612282817
-32.11,-58.06,R_URUGUAY_QUEGUAY-GRANDE_KM0112,10,0.9729238,-0.08300972,0.6658461350690273
-30.32,-54.82,R_URUGUAY_SANTA-MARIA_KM0886,20,2.9065137,2.79068,0.8369697984359018
-31.83,-58.14,R_URUGUAY_URUGUAY_KM0138,10,1.1353227,-0.2428565,0.7780437312260094
-30.3,-57.63,R_URUGUAY_URUGUAY_KM0356,10,3.9179757,-3.7014008,0.7235162770643363
-34.7,-66.66,R_COLORADO-01_DESAGUADERO_KM1177,20,3.986915,3.9429016,-0.587708768900351
-35.97,146.45,R_MURRAY_MURRAY_KM1925,20,6.368688,6.2716064,-0.3171701752229008
-36.1,146.95,R_MURRAY_MURRAY_KM2029,10,0.99743146,0.31278992,-0.10907560482456942
-36.09,146.99,R_MURRAY_MURRAY_KM2035,10,2.8266218,2.7318573,-0.5345944797326998
-34.65,-66.7,R_COLORADO-01_DESAGUADERO_KM1186,20,5.920054,5.90567,0.5148033347061781
-34.52,143.68,R_MURRAY_MURRUMBIDGEE_KM1282,20,2.3776762,2.3250656,0.25887078102022354
-34.46,145.61,R_MURRAY_MURRUMBIDGEE_KM1682,10,1.9474821,-1.763855,0.5081065953233987
-25.62,-60.27,R_PARANA_BERMEJITO_KM1611,30,1.2461796,0.917511,0.5595349120498105
-29.84,-51.21,R_GUAIBA_DOS-SINOS_KM0028,10,0.6028877,0.30685115,0.5012359996559793
