time,chainage [m],lat,lon,observed height [m],outlier
20130927 21:18:06,638874.69,29.175293,87.67813,3971.92,0
20130927 21:18:06,639152.21,29.17804,87.676767,3972.26,0
20130704 13:24:48,639497.76,29.175501,87.67074,4918.22,1
20121218 11:21:38,639510.44,29.178458,87.672735,3967.99,0
20121218 11:21:38,639956.03,29.181119,87.672773,3970.37,0
20111216 05:37:21,640742.05,29.188205,87.671041,3966.67,0
20101212 23:52:26,644191.65,29.209609,87.686539,4215.2,1
20100919 04:05:07,644901.27,29.217757,87.690308,5124.79,1
20130927 21:18:06,646007.75,29.223358,87.698656,5186.52,1
20111216 05:37:21,646403.88,29.214393,87.704311,3961.07,0
20130313 07:08:46,646489.07,29.215673,87.704977,3960.72,0
20111216 05:37:21,646677.4,29.217041,87.7067,3961.02,0
20111216 05:37:21,647036.45,29.222395,87.709514,3960.26,0
20100919 04:05:07,647658.97,29.230447,87.712684,5085.45,1
20121218 11:21:38,648178.98,29.230163,87.723176,4590.21,1
20130927 09:11:56,648178.98,29.233509,87.728015,4674.81,1
20111216 05:37:21,650058.89,29.246497,87.722263,3956.16,0
20110629 01:56:11,650258.34,29.246801,87.724297,4600.79,1
20110307 19:39:46,650618.94,29.240004,87.73684,4560.74,1
20111216 05:37:21,651308.12,29.254403,87.730521,3956.56,0
20121218 11:21:38,652029.77,29.245513,87.743625,4699.35,1
20130313 07:08:46,652331.08,29.254785,87.745285,3952.42,0
20130313 07:08:46,653084.21,29.262908,87.743512,3951.6,0
20111216 05:37:21,653992.87,29.27019,87.747756,3957.27,0
20111216 05:37:21,655585.91,29.280941,87.751797,3954.66,0
20130313 07:08:46,656048.39,29.284083,87.754873,3950.08,0
20120924 03:28:30,656094.58,29.286973,87.751812,3952.68,0
20110307 19:39:46,656132.05,29.285038,87.754924,4532.58,1
20120924 03:28:30,656378.41,29.289679,87.752683,3952.27,0
20120924 03:28:30,656780.46,29.295015,87.751952,3951.7,0
20120924 03:28:30,656781.3,29.292439,87.755333,3951.24,0
20130313 07:08:46,658716.23,29.299718,87.771494,3946.87,0
20110629 01:56:11,658838.9,29.308051,87.770855,4870.74,1
20130313 07:08:46,659149.78,29.310416,87.773569,3946.3,0
20121217 23:15:31,660010.27,29.302527,87.787256,3951.4,0
20130313 07:08:46,660168.62,29.313077,87.774565,3945.86,0
20130927 09:11:56,660168.62,29.313186,87.777421,4614.9,1
20120924 03:28:30,660369.25,29.311996,87.781496,3946.43,0
20120924 03:28:30,660632.16,29.314712,87.782685,3945.57,0
20130313 07:08:46,661749.98,29.320756,87.787408,3945.02,0
20130313 07:08:46,661977.44,29.323465,87.786824,3944.63,0
20130927 09:11:56,662127.03,29.319186,87.797698,4622.19,1
20130313 07:08:46,662563.04,29.328586,87.795349,3942.8,0
20110307 19:39:46,663221.57,29.326465,87.802911,4881.8,1
20130927 09:11:56,663891.13,29.32761,87.809279,4605.51,1
20111215 17:31:13,665148,29.338278,87.818055,4719.71,1
20121217 23:15:31,666866.18,29.33652,87.83502,3940.82,0
20110307 19:39:46,666893.49,29.336203,87.835256,4875.78,1
20111215 17:31:13,666919.65,29.333458,87.835117,4711.85,1
20121217 23:15:31,667138.79,29.333882,87.837455,3941.57,0
20111215 17:31:13,667475.7,29.336316,87.841316,4704.42,1
20130606 02:56:00,669606.32,29.336371,87.858632,3939.34,0
20130606 02:56:00,669887.34,29.339051,87.859835,3939.27,0
20110531 15:27:20,670029.39,29.338591,87.862141,3939.22,0
20120602 21:12:12,670132.59,29.337556,87.864472,3938.9,0
20110307 07:33:35,670255.8,29.338662,87.865064,3940.78,0
20121217 23:15:31,670573.15,29.345505,87.862852,3936.87,0
20120602 21:12:12,671275.59,29.342733,87.869471,3939.25,0
20120602 21:12:12,671433.16,29.348023,87.870777,3938.76,0
20121217 23:15:31,672199.43,29.351406,87.878476,3936.17,0
20111215 17:31:13,673064.86,29.351072,87.887422,4728.1,1
20110307 07:33:35,675267.9,29.345451,87.909444,3936.32,0
20120602 09:06:06,675474.08,29.346018,87.911817,5491.5,1
20120309 13:18:47,676297.48,29.350372,87.917488,5250.72,1
20120602 09:06:06,676390.71,29.348915,87.918603,5544.9,1
20110824 11:14:35,676546.54,29.348687,87.920666,3938.62,0
20130829 22:43:04,676758.26,29.350489,87.922311,4955.67,1
20120826 16:59:43,676787.07,29.349691,87.922898,4969.85,1
20110824 11:14:35,678003.62,29.356437,87.933607,3938.58,0
20110824 11:14:35,678627.36,29.359005,87.938379,3938.74,0
20110307 07:33:35,678875.19,29.360005,87.940799,3933.98,0
20110824 11:14:35,678999.51,29.361647,87.940748,3936.22,0
20110307 07:33:35,679253.17,29.362794,87.943088,3932.95,0
20110824 11:14:35,679358.07,29.364295,87.942917,3938.18,0
20110307 07:33:35,679736.18,29.365628,87.946823,3933.41,0
20110824 11:14:35,679823.69,29.366894,87.946665,3939.35,0
20110307 07:33:35,680039.77,29.368387,87.948086,3933.07,0
20110531 03:21:10,680178.9,29.369517,87.948814,5619.06,1
20110824 11:14:35,680249.92,29.369512,87.949831,3938.96,0
20110307 07:33:35,680498.68,29.371211,87.951489,3933.03,0
20110307 07:33:35,681726.31,29.376973,87.962016,3934.21,0
20130312 19:02:36,682315.24,29.387705,87.96228,4699.93,1
20110531 03:21:10,682801.79,29.380983,87.972048,5606.9,1
20130829 22:43:04,685195.46,29.386174,87.994085,5567.01,1
20130829 10:37:00,685376.16,29.384457,87.994852,5638.31,1
20120826 16:59:43,685434.2,29.383664,87.994868,4921.09,1
20101114 01:17:35,686694.22,29.376812,88.003184,5480.03,1
20120210 02:49:55,687509.28,29.37758,88.011593,5597.2,1
20111117 07:02:09,687950.41,29.37585,88.01679,5624.92,1
20130212 08:33:46,689010.19,29.370311,88.019149,5363.19,1
20110823 23:08:30,692348.62,29.369973,88.052764,5537.88,1
20111116 18:56:06,697036.05,29.367918,88.09603,4702.39,1
20131122 06:24:26,697706.29,29.366698,88.102959,4733.26,1
20111116 18:56:06,699288.54,29.36595,88.11911,4766.97,1
